Date; Title
18-05-2016; 全國人大常委會委員長出席「一帶一路高峰論壇」
17-05-2016; 全國人大常委會委員長出席禮賓府晚宴
17-05-2016; 全國人大常委會委員長視察發展局
17-05-2016; 全國人大常委會委員長聽取特區政府工作匯報
17-05-2016; 全國人大常委會委員長與行政長官會晤
17-05-2016; 全國人大常委會委員長抵港訪問三天
11-05-2016; 行政長官收到食水含鉛超標調查委員會報告
10-05-2016; 行政長官核准委任香港交易所主席
10-05-2016; 行政長官於行政會議前會見傳媒談話全文
09-05-2016; 行政長官與江西省委書記會面
03-05-2016; 行政長官於行政會議前會見傳媒談話全文
29-04-2016; 短期署任安排
26-04-2016; 行政長官於行政會議前會見傳媒談話全文
25-04-2016; 行政長官聲明
15-04-2016; 行政長官參觀惠州及深圳高端技術香港企業
14-04-2016; 行政長官邀請全國人大常委會委員長出席「一帶一路」高峰論壇
12-04-2016; 行政長官於行政會議前會見傳媒談話全文
10-04-2016; 行政長官與內蒙古自治區代理主席會面
08-04-2016; 行政長官會見傳媒談話全文
08-04-2016; 行政長官與英國外交及聯邦事務大臣會面
07-04-2016; 行政長官聲明
07-04-2016; 行政長官與蒙古總理會面
07-04-2016; 行政長官與海南省省長會面
06-04-2016; 行政長官與澳洲昆士蘭州州長兼藝術部長會面
06-04-2016; 行政長官與亞投行行長會面
05-04-2016; 行政長官於行政會議前會見傳媒談話全文
29-03-2016; 行政長官與深圳市委書記會面
24-03-2016; 行政長官海南會見傳媒談話全文
24-03-2016; 行政長官與出席博鰲亞洲論壇年會政要會面
23-03-2016; 行政長官在香港國際機場會見傳媒談話全文
22-03-2016; 行政長官與最高人民法院常務副院長會面
22-03-2016; 行政長官與立陶宛共和國總理會面
22-03-2016; 行政長官於行政會議前會見傳媒談話全文
21-03-2016; 行政長官與國家海洋局局長會面
21-03-2016; 行政長官出席博鰲亞洲論壇年會
17-03-2016; 國家「十三五」規劃綱要港澳專章
17-03-2016; 行政長官接納李慧琼呈辭並委任葉國謙為行政會議成員
15-03-2016; 行政長官於行政會議前會見傳媒談話全文
09-03-2016; 行政長官與金融發展局成員會面
06-03-2016; 行政長官北京會見傳媒談話全文
06-03-2016; 香港禮賓府三月十三日開放日
05-03-2016; 行政長官歡迎國際單車聯盟明年在港舉行世界場地錦標賽
04-03-2016; 行政長官北京會見傳媒談話全文
03-03-2016; 行政長官北京會見傳媒談話全文
01-03-2016; 行政長官及保安局局長於行政會議前會見傳媒談話全文
01-03-2016; 行政長官與美國財政部部長會面
29-02-2016; 行政長官與深圳市市長會面
26-02-2016; 行政長官列席人大會議開幕式
26-02-2016; 行政長官與法國財政和公共帳目部部長會面
26-02-2016; 行政長官與特拉維夫大學校長會面
25-02-2016; 行政長官與中國氣候變化事務特別代表會面
24-02-2016; 行政長官就二零一六╱一七年度《財政預算案》發表聲明
16-02-2016; 行政長官於行政會議前會見傳媒談話全文
14-02-2016; 行政長官會見傳媒談話全文
09-02-2016; 行政長官會見傳媒談話全文
09-02-2016; 行政長官及保安局局長會見傳媒談話全文
07-02-2016; 行政長官發表農曆新年賀辭
06-02-2016; 行政長官和夫人向市民拜年
06-02-2016; 行政長官出席香港警察學院結業會操
05-02-2016; 行政長官到衞生防護中心了解寨卡病毒防控措施
05-02-2016; 行政長官在香港國際機場會見傳媒談話全文
04-02-2016; 行政長官繼續印度訪問行程
02-02-2016; 行政長官展開印度訪問行程
02-02-2016; 署理行政長官於行政會議前會見傳媒談話全文
01-02-2016; 行政長官在香港國際機場會見傳媒談話全文
30-01-2016; 行政長官祝賀李慧詩勇奪亞錦賽金牌
29-01-2016; 副局長及政治助理委出
28-01-2016; 行政長官訪問印度
26-01-2016; 行政長官於行政會議前會見傳媒談話全文
20-01-2016; 行政長官出席青協施政報告論壇總結發言
20-01-2016; 行政長官出席青協施政報告論壇開場發言
19-01-2016; 行政長官與瑞典金融市場及消費者事務部長及財政部副部長會面
19-01-2016; 行政長官於行政會議前會見傳媒談話全文
18-01-2016; 亞洲金融論壇探討亞洲在全球經濟增長的角色
18-01-2016; 行政長官與出席亞洲金融論壇政要及財金領袖會面
18-01-2016; 行政長官會見傳媒談話全文
17-01-2016; 行政長官與俄羅斯副總理會面
17-01-2016; 行政長官會見傳媒談話全文
14-01-2016; 行政長官《施政報告》答問會答問全文（七）
